station,horas,mu,phi,power,__v,createdAt,updatedAt,r0,r1,r2,r3
CANELA,240,62.132804,2.141259,1.71695,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,70.02396871880967,111.94547659741113,160.9922763132034,227.53945759121677
TEUTONIA,240,51.550075,2.115016,1.741364,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,57.53594229272186,95.22317705124581,140.09690714505666,201.75552649313477
BENTO GONCALVES,96,19.170732,4.465583,1.685871,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,18.685219772163908,41.56404694126564,71.25423648722055,114.15349681449209
BENTO GONCALVES,240,47.949739,2.676583,1.704664,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,53.35954522603873,90.75947978269545,135.48496525667866,197.0559642419511
SAO JOSE DOS AUSENTES,48,7.967593,3.711899,1.73134,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,7.096945286493472,17.56038732231452,31.783709696183244,52.88386185885587
SAO JOSE DOS AUSENTES,96,15.930723,2.91137,1.738126,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,16.381443150749707,32.99897871091744,54.240903249625404,84.74885557903043
SAO JOSE DOS AUSENTES,168,27.883706,2.344123,1.723691,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,30.697077951664703,53.63394660160095,81.43290573738325,120.05912388959788
VACARIA,72,15.523738,4.952016,1.680341,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,14.207624818119037,34.469114344312985,61.31937054945719,100.52907474528078
VACARIA,144,31.060349,3.525228,1.680198,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,33.475206195470726,62.69967852512408,98.66849884336062,149.06491741977757
VACARIA,192,41.431481,3.047686,1.677631,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,46.01281148352736,79.71557830407133,120.09466524313927,175.70759423042986
CAMBARA DO SUL,24,4.671736,6.413155,1.721081,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,2.0347727526171377,10.460301987807465,24.014883802221753,45.472022288295335
CAMBARA DO SUL,216,41.998729,2.213804,1.7594,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,46.15946901105464,79.97415248766634,121.09494322311585,178.4195654766704
CANELA,72,18.632132,4.578496,1.686632,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,17.916164191227587,40.61748078136844,70.23874716987652,113.16475296003398
CANELA,120,31.05843,3.519429,1.688952,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,33.263634078076436,62.97192895370267,99.73504617563415,151.43141365359875
CANELA,144,37.273527,3.162079,1.691626,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,40.78454134452477,73.35293349572503,112.99097196777306,168.1616629097745
TEUTONIA,48,10.304522,4.935632,1.696184,0,2026-01-15T11:27:55Z,2026-01-15T11:27:55Z,8.556120833844773,23.23805305158094,43.38518756627393,73.33306300261654
